Geneid	Chr	Start	End	Strand	Length	IGV/SRR20959676_GSM6435908_C-PJI04_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959682_GSM6435902_A-PJI02_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam
gene-SAOUHSC_00727	NC_007795.1	708675	709679	+	1005	15	0	3	4	0	22	22	23	23	15	13	1
gene-SAOUHSC_00728	NC_007795.1	710153	712093	+	1941	793	759	753	1234	1239	1082	1079	773	771	852	854	3224
gene-SAOUHSC_00729	NC_007795.1	712364	714247	+	1884	108	33	32	30	29	15	21	67	67	45	43	59
gene-SAOUHSC_00730	NC_007795.1	714259	716040	+	1782	203	98	99	121	129	37	37	188	184	209	211	430
gene-SAOUHSC_00731	NC_007795.1	716262	717239	+	978	22	9	10	7	7	10	12	18	24	6	8	71
gene-SAOUHSC_00732	NC_007795.1	717232	718746	+	1515	244	205	201	126	111	219	226	341	348	140	136	1123
gene-SAOUHSC_00733	NC_007795.1	718986	720044	+	1059	199	12	12	62	75	34	41	37	47	15	20	45
gene-SAOUHSC_00734	NC_007795.1	720395	720937	+	543	41	7	7	8	10	9	5	29	31	11	10	51
gene-SAOUHSC_00735	NC_007795.1	721050	721148	+	99	69	0	0	10	0	31	36	23	28	4	4	9
gene-SAOUHSC_00736	NC_007795.1	721561	722478	-	918	272	27	27	131	130	18	16	32	32	213	213	63
gene-SAOUHSC_00737	NC_007795.1	722569	722670	+	102	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_00738	NC_007795.1	722748	724253	-	1506	57	8	8	12	13	23	23	30	32	26	27	100
gene-SAOUHSC_00739	NC_007795.1	724594	725094	-	501	2	3	2	0	0	1	1	1	1	2	2	26
gene-SAOUHSC_00740	NC_007795.1	725114	725848	-	735	6	9	9	0	1	2	3	8	8	2	2	19
gene-SAOUHSC_00741	NC_007795.1	726781	727179	+	399	154	0	102	31	88	10	54	6	213	8	71	28
gene-SAOUHSC_00742	NC_007795.1	727082	729247	+	2166	1043	231	232	526	578	292	292	822	821	392	392	1612
gene-SAOUHSC_00743	NC_007795.1	729365	730336	+	972	10	0	5	14	9	2	2	6	6	14	4	105
gene-SAOUHSC_00744	NC_007795.1	730469	730573	+	105	2	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_00745	NC_007795.1	730850	731005	+	156	0	0	0	0	0	0	0	1	0	0	0	0
gene-SAOUHSC_00746	NC_007795.1	731044	732015	+	972	3	0	0	25	11	2	1	5	5	2	1	11
gene-SAOUHSC_00747	NC_007795.1	732002	732958	+	957	0	0	2	3	3	2	2	4	0	0	1	2
gene-SAOUHSC_00748	NC_007795.1	732955	733716	+	762	0	0	0	0	0	4	4	1	1	0	0	9
gene-SAOUHSC_00749	NC_007795.1	733835	734863	+	1029	0	0	1	5	7	0	1	0	1	3	3	18
gene-SAOUHSC_00751	NC_007795.1	735180	735494	-	315	20	12	12	12	11	30	10	29	22	19	12	100
gene-SAOUHSC_00752	NC_007795.1	735512	736435	-	924	52	4	5	50	47	71	68	46	49	39	40	152
gene-SAOUHSC_00753	NC_007795.1	736562	737080	-	519	0	0	0	0	0	2	0	5	2	6	1	2
gene-SAOUHSC_00754	NC_007795.1	737200	738078	+	879	2	0	0	5	3	4	5	6	4	4	1	0
gene-SAOUHSC_00755	NC_007795.1	738232	738552	+	321	64	26	26	13	13	5	8	31	29	60	54	4
gene-SAOUHSC_00756	NC_007795.1	738977	740101	+	1125	2	3	3	3	3	1	0	4	3	6	6	9
gene-SAOUHSC_00757	NC_007795.1	740290	741516	-	1227	326	43	42	99	79	108	108	110	107	119	111	283
gene-SAOUHSC_00758	NC_007795.1	741530	742024	-	495	43	0	0	29	23	20	9	22	19	32	33	60
gene-SAOUHSC_00759	NC_007795.1	742042	742803	-	762	17	2	1	11	11	22	13	15	18	17	13	39
gene-SAOUHSC_00760	NC_007795.1	742999	744069	-	1071	23	16	27	68	83	19	17	21	23	28	31	46
gene-SAOUHSC_00762	NC_007795.1	744387	745442	+	1056	22	15	14	47	48	29	30	33	30	51	45	189
gene-SAOUHSC_00763	NC_007795.1	745612	746253	-	642	37	2	2	8	7	2	2	17	17	6	6	27
gene-SAOUHSC_00764	NC_007795.1	746397	746780	+	384	7	0	0	5	1	4	3	0	0	0	0	43
gene-SAOUHSC_00765	NC_007795.1	747288	748226	+	939	11	16	3	81	4	29	0	43	15	48	14	82
gene-SAOUHSC_00766	NC_007795.1	748219	748893	+	675	10	1	2	2	5	0	0	4	2	13	6	13
gene-SAOUHSC_00767	NC_007795.1	748954	749526	+	573	5	0	0	3	3	9	8	2	2	4	4	129
gene-SAOUHSC_00769	NC_007795.1	749940	752471	+	2532	439	111	116	770	767	276	279	270	269	307	302	1710
gene-SAOUHSC_00770	NC_007795.1	752513	752617	+	105	0	0	0	2	2	0	1	0	0	1	1	25
gene-SAOUHSC_00771	NC_007795.1	753021	753896	+	876	26	6	6	24	23	14	14	20	22	5	6	90
gene-SAOUHSC_00772	NC_007795.1	754050	754157	+	108	0	2	1	0	0	0	0	0	0	0	0	4
gene-SAOUHSC_00773	NC_007795.1	754305	755144	+	840	74	3	3	76	40	10	10	4	4	0	0	187
gene-SAOUHSC_00774	NC_007795.1	755318	755968	+	651	0	0	0	0	0	1	1	4	0	3	0	2
gene-SAOUHSC_00775	NC_007795.1	755965	756201	+	237	0	0	0	0	0	0	0	0	0	0	1	0
gene-SAOUHSC_00776	NC_007795.1	756470	757501	+	1032	68	6	9	19	19	40	41	29	24	18	15	25
gene-SAOUHSC_00778	NC_007795.1	757511	758527	+	1017	3	5	12	13	6	2	10	0	11	0	0	18
gene-SAOUHSC_00779	NC_007795.1	758680	759654	+	975	79	16	15	13	14	35	33	34	30	37	33	85
gene-SAOUHSC_00780	NC_007795.1	759662	762508	+	2847	1805	401	405	403	423	790	794	764	765	562	559	812
gene-SAOUHSC_00781	NC_007795.1	763170	764102	+	933	55	5	6	6	3	51	51	37	40	46	42	185
gene-SAOUHSC_00782	NC_007795.1	764108	764947	+	840	21	4	4	24	25	5	5	20	18	37	37	61
gene-SAOUHSC_00783	NC_007795.1	764955	765440	+	486	42	0	4	9	20	22	26	0	17	12	18	45
gene-SAOUHSC_00784	NC_007795.1	765448	766887	+	1440	159	53	50	148	164	64	65	103	118	104	106	123
gene-SAOUHSC_00785	NC_007795.1	766954	767889	+	936	1050	116	122	724	751	374	393	908	935	620	641	1344
gene-SAOUHSC_00786	NC_007795.1	768263	768688	-	426	297	6	12	48	83	20	57	26	69	66	85	102
gene-SAOUHSC_00787	NC_007795.1	768883	769794	+	912	4	12	13	29	27	3	3	16	15	11	8	13
gene-SAOUHSC_00788	NC_007795.1	769791	770786	+	996	71	17	23	57	70	30	59	30	54	38	56	56
gene-SAOUHSC_00789	NC_007795.1	770896	771840	+	945	149	40	23	37	31	157	79	241	119	85	69	135
gene-SAOUHSC_T0005	NC_007795.1	772155	772226	-	72	0	2	0	0	0	0	0	0	1	0	0	0
gene-SAOUHSC_00790	NC_007795.1	772413	773000	+	588	40	3	2	27	27	20	14	39	37	1	1	85
gene-SAOUHSC_00792	NC_007795.1	773243	774145	-	903	88	12	14	38	42	55	69	113	127	19	28	126
gene-SAOUHSC_00793	NC_007795.1	774848	775477	+	630	12	0	0	8	9	12	12	14	15	0	0	12
gene-SAOUHSC_00794	NC_007795.1	776119	777132	+	1014	1667	109	110	496	495	870	889	1572	1582	1009	1020	1069
gene-SAOUHSC_00795	NC_007795.1	777185	778195	+	1011	2229	148	139	621	600	1433	1408	1505	1468	833	813	946
gene-SAOUHSC_00796	NC_007795.1	778334	779524	+	1191	2376	105	120	314	335	1394	1466	1189	1255	976	1042	405
gene-SAOUHSC_00797	NC_007795.1	779646	780407	+	762	4602	198	177	470	441	1697	1613	2058	1959	1600	1514	939
gene-SAOUHSC_00798	NC_007795.1	780410	781927	+	1518	2125	182	182	787	788	970	986	1207	1386	934	1013	1388
gene-SAOUHSC_00799	NC_007795.1	782057	783361	+	1305	3170	211	217	625	674	2040	2258	1985	1930	1166	1077	2693
gene-SAOUHSC_00800	NC_007795.1	783701	784159	+	459	6	11	9	7	6	9	9	6	6	9	9	7
gene-SAOUHSC_00801	NC_007795.1	784226	784459	+	234	6	0	0	2	36	0	0	2	2	1	1	2
gene-SAOUHSC_00802	NC_007795.1	784575	785315	+	741	14	6	8	53	12	13	16	19	17	14	14	83
gene-SAOUHSC_00803	NC_007795.1	785349	787721	+	2373	1037	116	118	388	398	261	267	272	272	288	289	749
gene-SAOUHSC_00804	NC_007795.1	787743	788207	+	465	229	35	35	35	36	56	55	81	81	52	52	97
gene-SAOUHSC_00806	NC_007795.1	789529	789852	-	324	4	3	3	0	0	0	1	2	2	0	1	0
gene-SAOUHSC_00807	NC_007795.1	789868	790014	-	147	1	0	2	0	1	0	0	2	2	0	0	0
gene-SAOUHSC_00808	NC_007795.1	790206	790934	-	729	2	0	1	7	12	0	2	2	4	0	2	0
gene-SAOUHSC_00809	NC_007795.1	791370	791525	+	156	1	0	0	0	2	0	0	0	0	0	0	0
gene-SAOUHSC_00810	NC_007795.1	791533	792054	+	522	0	0	0	12	21	1	1	0	0	1	0	1
gene-SAOUHSC_00811	NC_007795.1	792193	792723	+	531	0	0	0	5	5	0	0	1	0	2	2	11
gene-SAOUHSC_00812	NC_007795.1	792986	795769	+	2784	100546	6893	9227	1455	2368	51450	86091	53628	101755	46195	46381	8992
gene-SAOUHSC_00816	NC_007795.1	797866	798888	+	1023	2	0	0	3	0	0	0	0	0	0	4	1
gene-SAOUHSC_00817	NC_007795.1	799223	799693	+	471	3	0	1	0	9	0	0	0	1	0	3	1
gene-SAOUHSC_00818	NC_007795.1	800034	800720	+	687	1	0	0	0	6	1	1	2	1	0	1	24
gene-SAOUHSC_00819	NC_007795.1	801077	801277	+	201	67	21	21	33	34	26	26	35	36	19	19	205
gene-SAOUHSC_00820	NC_007795.1	801773	801991	-	219	0	0	0	0	0	9	0	0	0	0	0	0
gene-SAOUHSC_00821	NC_007795.1	802053	802337	-	285	3	0	0	1	1	2	0	2	3	0	0	2
gene-SAOUHSC_00822	NC_007795.1	802425	802994	-	570	3	0	0	0	0	3	6	1	2	1	1	0
gene-SAOUHSC_00823	NC_007795.1	803182	803370	-	189	0	3	0	13	13	2	2	0	1	3	3	1
gene-SAOUHSC_00824	NC_007795.1	803399	803659	-	261	0	3	4	0	4	1	0	1	2	5	7	2
gene-SAOUHSC_00825	NC_007795.1	804000	804203	+	204	19	33	43	120	93	27	18	32	20	30	70	33
gene-SAOUHSC_00826	NC_007795.1	804200	804436	-	237	22	14	33	64	120	16	21	14	34	16	31	13
gene-SAOUHSC_00827	NC_007795.1	804682	805242	+	561	2	1	1	0	3	1	3	0	0	2	3	26
gene-SAOUHSC_00828	NC_007795.1	805315	805932	-	618	0	3	3	12	8	6	6	1	0	0	0	7
gene-SAOUHSC_00830	NC_007795.1	806087	806581	-	495	32	9	11	57	58	27	28	23	25	14	18	471
gene-SAOUHSC_00831	NC_007795.1	806980	807402	-	423	8	0	1	6	6	3	3	2	1	0	0	1
gene-SAOUHSC_00832	NC_007795.1	807550	808266	+	717	6	3	3	3	0	6	6	5	6	2	2	26
gene-SAOUHSC_00833	NC_007795.1	808349	808888	+	540	12	4	5	8	9	2	2	8	9	6	9	56
gene-SAOUHSC_00834	NC_007795.1	809038	809358	-	321	65	0	0	6	6	7	7	14	14	12	12	34
gene-SAOUHSC_00835	NC_007795.1	809502	809858	+	357	0	0	0	3	7	0	0	0	0	0	1	4
gene-SAOUHSC_00836	NC_007795.1	810016	810396	+	381	105	1	1	7	3	42	42	83	83	34	35	36
gene-SAOUHSC_00837	NC_007795.1	810460	810573	+	114	0	0	0	0	4	0	0	0	0	5	5	6
gene-SAOUHSC_00838	NC_007795.1	810575	811453	+	879	6	0	1	0	1	11	13	15	21	9	17	14
gene-SAOUHSC_00839	NC_007795.1	811872	811985	+	114	12	10	9	5	0	34	16	22	10	0	2	1
gene-SAOUHSC_00840	NC_007795.1	812195	812581	+	387	2	0	0	11	11	0	2	3	1	3	4	2
gene-SAOUHSC_00841	NC_007795.1	812574	812870	+	297	2	1	1	14	14	1	1	11	12	5	2	1
gene-SAOUHSC_00842	NC_007795.1	813120	814145	+	1026	74	22	34	23	39	23	40	36	102	13	18	118
gene-SAOUHSC_00843	NC_007795.1	814138	814833	+	696	78	24	21	25	25	137	140	216	185	52	58	108
gene-SAOUHSC_00844	NC_007795.1	814851	815672	+	822	14	3	3	55	61	0	0	11	8	16	12	41
gene-SAOUHSC_00845	NC_007795.1	816026	816220	+	195	5	0	0	0	0	2	2	1	1	3	1	1
gene-SAOUHSC_00846	NC_007795.1	816453	817304	-	852	29	8	8	17	19	21	12	37	37	29	32	55
gene-SAOUHSC_00847	NC_007795.1	817632	818393	+	762	18	0	0	5	6	1	0	5	6	3	4	17
gene-SAOUHSC_00848	NC_007795.1	818491	819798	+	1308	1803	190	281	250	317	107	186	457	836	424	556	1701
gene-SAOUHSC_00849	NC_007795.1	819904	821154	+	1251	8012	1016	945	907	863	1397	1372	3148	2850	1287	1197	6750
gene-SAOUHSC_00850	NC_007795.1	821144	821608	+	465	433	132	106	124	122	104	73	200	140	179	150	270
gene-SAOUHSC_00851	NC_007795.1	821759	823156	+	1398	2958	556	575	771	757	550	548	2979	3085	527	512	2076
gene-SAOUHSC_00852	NC_007795.1	823343	823480	+	138	0	3	0	0	0	1	1	0	0	0	0	0
gene-SAOUHSC_00853	NC_007795.1	823486	823800	-	315	0	3	4	3	3	0	1	0	0	0	0	0
gene-SAOUHSC_00854	NC_007795.1	824165	825205	+	1041	245	64	67	88	72	22	22	112	120	82	86	121
gene-SAOUHSC_00855	NC_007795.1	825219	826286	+	1068	313	306	304	18	19	91	93	425	426	759	773	150
gene-SAOUHSC_00857	NC_007795.1	826353	826451	+	99	0	0	0	0	0	0	0	0	0	0	0	4
gene-SAOUHSC_00858	NC_007795.1	826499	827347	+	849	20	0	0	12	13	0	1	9	10	1	1	17
gene-SAOUHSC_00859	NC_007795.1	827360	828187	+	828	225	65	65	98	122	86	86	125	131	58	65	240
gene-SAOUHSC_00860	NC_007795.1	828214	829533	+	1320	117	24	11	75	57	30	17	69	29	72	66	209
gene-SAOUHSC_00861	NC_007795.1	829617	830534	+	918	615	113	114	83	99	326	326	424	425	236	228	597
gene-SAOUHSC_00862	NC_007795.1	830664	831047	+	384	0	7	6	11	14	2	3	8	8	2	2	5
gene-SAOUHSC_00863	NC_007795.1	831126	831392	-	267	2	0	0	5	4	1	1	0	1	0	1	3
gene-SAOUHSC_00864	NC_007795.1	831490	831924	+	435	6	0	0	0	5	5	3	2	1	3	3	5
gene-SAOUHSC_00865	NC_007795.1	831924	832703	+	780	11	2	3	1	1	0	0	4	4	7	7	37
gene-SAOUHSC_00866	NC_007795.1	832811	833695	+	885	47	59	59	53	61	41	42	64	64	37	38	237
gene-SAOUHSC_00867	NC_007795.1	833949	834059	+	111	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_00868	NC_007795.1	834107	834259	+	153	2	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_00869	NC_007795.1	834275	835732	+	1458	700	140	145	379	357	170	168	362	378	265	269	798
gene-SAOUHSC_00870	NC_007795.1	835729	836943	+	1215	347	79	131	188	243	54	97	157	319	68	169	268
gene-SAOUHSC_00871	NC_007795.1	836961	837197	+	237	230	68	81	75	127	68	62	210	233	116	118	167
gene-SAOUHSC_00872	NC_007795.1	837194	838369	+	1176	253	113	108	232	231	71	72	195	164	90	87	289
gene-SAOUHSC_00873	NC_007795.1	838632	838874	-	243	10	2	2	0	0	1	1	7	7	3	2	151
gene-SAOUHSC_00874	NC_007795.1	838975	839298	+	324	1	0	1	0	0	0	0	0	0	0	2	0
gene-SAOUHSC_00875	NC_007795.1	839357	840421	-	1065	712	184	191	46	48	74	75	260	262	117	116	382
gene-SAOUHSC_00876	NC_007795.1	840738	840974	+	237	28	3	4	0	0	2	2	18	20	2	3	1
gene-SAOUHSC_00877	NC_007795.1	840987	841346	+	360	98	25	22	63	63	48	48	101	98	54	55	189
gene-SAOUHSC_00878	NC_007795.1	841800	843008	+	1209	214	33	34	153	153	123	124	124	123	88	86	361
gene-SAOUHSC_00879	NC_007795.1	843139	844614	+	1476	83	14	14	25	28	125	125	111	112	66	71	153
gene-SAOUHSC_00880	NC_007795.1	845025	846341	+	1317	564	93	97	465	500	30	31	272	277	166	190	1216
gene-SAOUHSC_00881	NC_007795.1	846360	846734	+	375	172	38	25	158	101	26	15	117	47	79	47	711
gene-SAOUHSC_00882	NC_007795.1	846790	847944	-	1155	7	0	1	15	21	2	2	10	11	4	5	15
gene-SAOUHSC_00883	NC_007795.1	848193	848549	-	357	27	6	1	65	22	27	9	88	18	42	6	288
gene-SAOUHSC_00884	NC_007795.1	848527	848820	-	294	65	20	19	120	117	20	21	89	93	50	52	218
gene-SAOUHSC_00885	NC_007795.1	848820	849299	-	480	82	30	34	129	184	37	35	66	77	67	47	371
gene-SAOUHSC_00886	NC_007795.1	849301	850797	-	1497	352	72	72	262	289	230	229	308	292	191	216	685
gene-SAOUHSC_00887	NC_007795.1	850790	851119	-	330	182	20	18	49	52	77	92	137	170	64	69	237
gene-SAOUHSC_00888	NC_007795.1	851131	851559	-	429	75	13	12	33	35	9	7	73	56	42	35	175
gene-SAOUHSC_00889	NC_007795.1	851552	853957	-	2406	753	116	134	334	312	292	356	372	397	289	326	950
gene-SAOUHSC_00890	NC_007795.1	854088	854471	-	384	3	6	6	0	2	5	5	4	7	5	4	25
gene-SAOUHSC_00891	NC_007795.1	854535	855128	+	594	70	13	14	5	5	39	38	63	60	29	28	57
gene-SAOUHSC_00892	NC_007795.1	855577	855921	+	345	23	5	5	7	7	9	9	14	14	12	13	103
gene-SAOUHSC_00893	NC_007795.1	856283	857410	+	1128	173	7	8	9	25	66	66	85	90	13	14	60
gene-SAOUHSC_00894	NC_007795.1	857718	858908	+	1191	4112	513	525	502	484	2112	2132	3145	3170	1062	1058	2958
gene-SAOUHSC_00895	NC_007795.1	859017	860261	+	1245	37048	3715	3706	13486	13450	11882	11891	17996	18000	7142	7136	25398
gene-SAOUHSC_00896	NC_007795.1	860487	860678	+	192	266	0	0	3	3	3	1	6	2	23	15	15
gene-SAOUHSC_00897	NC_007795.1	860764	861693	-	930	37	24	22	25	27	8	5	32	29	13	17	68
gene-SAOUHSC_00898	NC_007795.1	861935	863314	-	1380	1077	216	218	683	688	609	614	921	931	481	482	2612
gene-SAOUHSC_00899	NC_007795.1	863304	864509	-	1206	356	63	63	123	153	130	140	301	317	226	232	704
gene-SAOUHSC_00900	NC_007795.1	864860	866191	+	1332	273	67	107	80	78	163	205	183	239	135	169	823
gene-SAOUHSC_00901	NC_007795.1	866516	867091	+	576	8	10	26	22	45	0	0	3	13	9	11	4
gene-SAOUHSC_00902	NC_007795.1	867096	867620	+	525	21	23	22	26	32	0	5	19	22	5	10	14
gene-SAOUHSC_00903	NC_007795.1	867744	868211	+	468	14	0	0	12	10	0	3	2	3	4	13	8
gene-SAOUHSC_00904	NC_007795.1	868371	871847	+	3477	115	47	50	122	120	26	23	80	81	192	198	451
gene-SAOUHSC_00905	NC_007795.1	871848	875501	+	3654	543	112	112	141	146	511	518	497	505	496	494	1055
gene-SAOUHSC_00906	NC_007795.1	875667	876569	+	903	332	43	59	65	103	77	90	151	170	154	176	334
gene-SAOUHSC_00907	NC_007795.1	876898	877287	+	390	0	0	0	0	1	9	3	5	1	0	0	3
gene-SAOUHSC_00908	NC_007795.1	877458	878774	-	1317	1224	200	181	134	135	674	679	1558	1543	391	389	2077
gene-SAOUHSC_00909	NC_007795.1	878826	879650	-	825	38	36	36	27	30	23	23	59	60	29	29	133
gene-SAOUHSC_00910	NC_007795.1	879806	880072	+	267	576	187	187	49	49	839	847	1100	1101	3	21	67
gene-SAOUHSC_00911	NC_007795.1	880619	882433	+	1815	15	0	4	0	15	0	7	2	11	2	5	5
gene-SAOUHSC_00912	NC_007795.1	882636	885245	+	2610	11830	875	876	670	669	1580	1585	1412	1423	409	414	5068
gene-SAOUHSC_00913	NC_007795.1	885304	886173	-	870	1	0	2	5	6	7	0	4	1	0	0	0
gene-SAOUHSC_00914	NC_007795.1	886283	887428	+	1146	7	0	2	0	6	3	3	0	2	0	1	0
gene-SAOUHSC_00915	NC_007795.1	887412	888053	+	642	1	0	132	0	3	1	1408	1	1812	2	117	0
gene-SAOUHSC_00916	NC_007795.1	888046	889164	+	1119	0	0	0	1	1	0	1	0	0	0	0	0
gene-SAOUHSC_00917	NC_007795.1	889148	889663	+	516	0	0	1	2	2	5	0	0	1	0	0	4
gene-SAOUHSC_00919	NC_007795.1	890665	890850	-	186	8	4	4	4	6	5	5	3	2	0	0	57
gene-SAOUHSC_00920	NC_007795.1	891145	892086	+	942	48	7	8	81	81	15	16	11	67	10	10	163
gene-SAOUHSC_00921	NC_007795.1	892098	893342	+	1245	227	33	33	47	49	113	111	135	134	65	65	509
gene-SAOUHSC_00922	NC_007795.1	893397	893768	-	372	0	0	1	0	0	0	1	1	1	0	1	0
gene-SAOUHSC_00923	NC_007795.1	894011	894937	+	927	18	3	7	49	66	17	22	23	23	14	15	24
gene-SAOUHSC_00924	NC_007795.1	894937	896007	+	1071	300	43	45	275	278	139	138	155	156	134	133	563
gene-SAOUHSC_00925	NC_007795.1	896024	897106	+	1083	285	30	30	359	358	100	103	78	79	72	74	842
gene-SAOUHSC_00926	NC_007795.1	897096	898037	+	942	338	76	76	155	149	210	210	326	327	252	252	390
gene-SAOUHSC_00927	NC_007795.1	898056	899711	+	1656	158	50	52	102	89	130	131	197	205	101	106	303
gene-SAOUHSC_00928	NC_007795.1	899923	901638	+	1716	1	0	2	6	3	0	0	4	2	1	3	4
gene-SAOUHSC_00929	NC_007795.1	901689	902675	+	987	1	2	4	0	2	4	5	0	3	4	3	2
gene-SAOUHSC_00930	NC_007795.1	902678	903658	+	981	1	1	3	5	35	0	0	1	1	1	5	7
gene-SAOUHSC_00931	NC_007795.1	903651	904613	+	963	1	0	0	5	0	2	2	2	1	1	0	0
gene-SAOUHSC_00932	NC_007795.1	904625	905506	+	882	5	0	1	0	0	0	1	1	4	0	0	2
gene-SAOUHSC_00933	NC_007795.1	905548	906537	-	990	59	9	9	12	8	19	19	45	45	25	25	96
gene-SAOUHSC_00934	NC_007795.1	906832	907227	+	396	3828	1733	1742	2280	2308	3233	3277	2443	2471	3620	3657	12567
gene-SAOUHSC_00935	NC_007795.1	907598	908317	+	720	294	121	120	312	307	207	206	353	354	106	114	422
gene-SAOUHSC_00936	NC_007795.1	908438	909424	+	987	0	0	0	0	0	1	1	2	0	0	1	0
gene-SAOUHSC_00937	NC_007795.1	909472	911280	+	1809	41	1	1	26	28	13	13	14	16	14	12	68
gene-SAOUHSC_00938	NC_007795.1	911740	912546	-	807	45	14	14	49	46	25	24	77	74	40	29	132
gene-SAOUHSC_00939	NC_007795.1	912569	912886	-	318	35	6	16	0	40	1	8	8	49	9	29	26
gene-SAOUHSC_00940	NC_007795.1	913038	913631	-	594	2	0	1	0	1	0	0	3	3	5	5	17
gene-SAOUHSC_00941	NC_007795.1	913817	914164	+	348	3	0	0	1	1	0	1	0	0	0	1	24
gene-SAOUHSC_00942	NC_007795.1	914181	914816	+	636	100	132	138	324	339	66	74	82	97	147	160	123
gene-SAOUHSC_00943	NC_007795.1	914833	915642	+	810	109	33	34	111	109	57	59	82	85	79	82	342
gene-SAOUHSC_00944	NC_007795.1	915639	916493	+	855	27	3	3	12	9	8	8	60	44	47	42	189
gene-SAOUHSC_00945	NC_007795.1	916514	917899	+	1386	431	122	121	432	411	214	216	236	238	195	195	387
gene-SAOUHSC_00946	NC_007795.1	917909	919753	+	1845	183	65	69	231	231	82	84	113	117	137	139	235
gene-SAOUHSC_00947	NC_007795.1	920031	920801	+	771	10	97	11	548	42	297	17	159	14	98	16	67
gene-SAOUHSC_00948	NC_007795.1	920996	922081	-	1086	73	35	35	117	103	20	19	44	42	25	106	96
gene-SAOUHSC_00949	NC_007795.1	922423	923991	+	1569	41	1	1	51	53	7	7	35	35	17	17	61
gene-SAOUHSC_00950	NC_007795.1	924133	924891	+	759	1	0	0	0	1	2	2	1	2	3	3	1
gene-SAOUHSC_00951	NC_007795.1	925085	925594	+	510	28	2	2	23	23	14	15	13	13	5	6	38
gene-SAOUHSC_00952	NC_007795.1	925707	926915	-	1209	188	84	77	111	99	49	37	136	93	80	63	285
gene-SAOUHSC_00953	NC_007795.1	926875	928050	-	1176	3475	54	1568	34	85	76	3860	168	2794	78	3608	260
gene-SAOUHSC_00954	NC_007795.1	928483	929964	+	1482	77	16	12	99	103	34	35	33	38	56	60	28
gene-SAOUHSC_00955	NC_007795.1	929948	930208	+	261	0	3	3	0	1	0	0	4	4	0	1	0
gene-SAOUHSC_00956	NC_007795.1	930208	931770	+	1563	60	23	23	30	46	51	53	48	49	34	36	8
gene-SAOUHSC_00957	NC_007795.1	932072	932875	+	804	55	17	16	8	9	35	37	10	10	7	7	104
gene-SAOUHSC_00958	NC_007795.1	933094	935418	+	2325	12	0	3	4	23	4	7	10	9	7	9	30
gene-SAOUHSC_00959	NC_007795.1	935435	936793	+	1359	62	32	32	48	47	15	15	25	25	24	24	118
gene-SAOUHSC_00960	NC_007795.1	936932	938443	+	1512	8	7	8	67	68	7	11	9	10	44	44	75
gene-SAOUHSC_T00049	NC_007795.1	938623	938711	-	89	0	0	0	0	0	4	4	1	0	0	0	2
gene-SAOUHSC_T0008	NC_007795.1	938714	938788	-	75	0	0	0	0	1	4	4	0	0	0	1	2
gene-SAOUHSC_00961	NC_007795.1	938930	939460	-	531	1	0	1	0	0	5	5	0	0	0	0	6
gene-SAOUHSC_00962	NC_007795.1	939709	939927	+	219	1	0	0	11	15	0	0	0	0	0	0	5
gene-SAOUHSC_00963	NC_007795.1	940008	940994	-	987	1	3	3	16	15	0	0	1	1	1	1	4
gene-SAOUHSC_00964	NC_007795.1	941193	941369	+	177	23	13	16	21	21	7	7	27	29	15	16	10
gene-SAOUHSC_00965	NC_007795.1	941384	941986	+	603	19	23	21	34	19	7	3	41	28	18	11	15
gene-SAOUHSC_00966	NC_007795.1	942257	942364	+	108	6	0	0	17	17	0	0	4	4	5	5	13
